,scaler,fs_model,fs_m,pca_n,tot_n_features,max_depth,n_estimators,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
129,StandardScaler,ExtraTreesClf_10,4000,0,4000,50,50,1.0,0.4131651671245413,1.0,0.5990282591308984
130,StandardScaler,ExtraTreesClf_10,4000,0,4000,50,100,1.0,0.4088356429860593,1.0,0.6031122811694659
131,StandardScaler,ExtraTreesClf_10,4000,0,4000,50,500,1.0,0.4020078156571978,1.0,0.5951304096685328
135,RobustScaler,LinearSVC,10,0,10,10,50,0.6049861144321488,0.21534136320989314,0.9914325068870523,0.6638729672087443
136,RobustScaler,LinearSVC,10,0,10,10,100,0.6065353756552425,0.21206296169861366,0.9915702479338843,0.6600886430285258
137,RobustScaler,LinearSVC,10,0,10,10,500,0.6249953854465675,0.21758145185679972,0.9922451790633608,0.6569654758731005
138,RobustScaler,LinearSVC,10,0,10,50,50,0.9985935352667213,0.16942384195276988,0.9986111111111111,0.5331680440771349
139,RobustScaler,LinearSVC,10,0,10,50,100,1.0,0.22642794657446536,1.0,0.5412843241802187
140,RobustScaler,LinearSVC,10,0,10,50,500,1.0,0.19647775640943005,1.0,0.5373347107438017
144,RobustScaler,LinearSVC,100,0,100,10,50,0.7838967364560632,0.38868161226542514,0.9967355371900827,0.7069923575935306
145,RobustScaler,LinearSVC,100,0,100,10,100,0.8204183432908834,0.4514893536428046,0.9975482093663912,0.7286003732338042
146,RobustScaler,LinearSVC,100,0,100,10,500,0.8276191123446834,0.4512421354374472,0.9976721763085399,0.7247334044254865
147,RobustScaler,LinearSVC,100,0,100,50,50,1.0,0.42072695549679034,1.0,0.6075890873544832
148,RobustScaler,LinearSVC,100,0,100,50,100,1.0,0.44764869465245843,1.0,0.6156949257975651
149,RobustScaler,LinearSVC,100,0,100,50,500,1.0,0.43811988739476204,1.0,0.615519194881365
153,RobustScaler,LinearSVC,750,0,750,10,50,0.8885279655076718,0.4532934970978716,0.9986225895316804,0.7005289700524304
154,RobustScaler,LinearSVC,750,0,750,10,100,0.9101234973066742,0.48438225185792316,0.9989118457300276,0.7134113125388786
155,RobustScaler,LinearSVC,750,0,750,10,500,0.9245349972836262,0.5236099957100439,0.9991460055096419,0.7221165466986582
156,RobustScaler,LinearSVC,750,0,750,50,50,1.0,0.39220458161761507,1.0,0.5868797209632988
157,RobustScaler,LinearSVC,750,0,750,50,100,1.0,0.3738733737080384,1.0,0.582806140584733
158,RobustScaler,LinearSVC,750,0,750,50,500,1.0,0.398054818464459,1.0,0.5910050653159158
162,RobustScaler,LinearSVC,1500,0,1500,10,50,0.9251405269300357,0.4952260168669693,0.9991322314049587,0.7133491069048254
163,RobustScaler,LinearSVC,1500,0,1500,10,100,0.934899237150655,0.5337712872211784,0.9992699724517906,0.7220130187505555
164,RobustScaler,LinearSVC,1500,0,1500,10,500,0.944792912912192,0.5258763889278164,0.9993939393939393,0.7140311472496222
165,RobustScaler,LinearSVC,1500,0,1500,50,50,1.0,0.3668711582991539,1.0,0.5867144317071004
166,RobustScaler,LinearSVC,1500,0,1500,50,100,1.0,0.37673323563986894,1.0,0.5867557540211499
167,RobustScaler,LinearSVC,1500,0,1500,50,500,1.0,0.3417929276652263,1.0,0.5785155069759176
171,RobustScaler,LinearSVC,4000,0,4000,10,50,0.9261868823489907,0.4988847919280297,0.9991735537190083,0.7009626321869724
172,RobustScaler,LinearSVC,4000,0,4000,10,100,0.9360115475349012,0.5386053451501125,0.9992837465564738,0.7259213098729227
173,RobustScaler,LinearSVC,4000,0,4000,10,500,0.9539606709414811,0.5678412569563516,0.9995041322314049,0.7264689416155692
174,RobustScaler,LinearSVC,4000,0,4000,50,50,1.0,0.35591365118161183,1.0,0.5785568292899671
175,RobustScaler,LinearSVC,4000,0,4000,50,100,1.0,0.37250586908002314,1.0,0.5867557540211499
176,RobustScaler,LinearSVC,4000,0,4000,50,500,1.0,0.39126218660088885,1.0,0.5909637430018662
180,RobustScaler,AdaBoost_10,10,0,10,10,50,0.8131553509274663,0.42030973452797227,0.9974380165289256,0.7123886963476406
181,RobustScaler,AdaBoost_10,10,0,10,10,100,0.8206714632908723,0.4415410389468487,0.9975895316804408,0.7207529103350216
182,RobustScaler,AdaBoost_10,10,0,10,10,500,0.8345858042118532,0.46038659045452746,0.9978374655647383,0.7250331022838353
183,RobustScaler,AdaBoost_10,10,0,10,50,50,0.9986088819676815,0.43752843070868414,0.9986263736263736,0.6276781747089664
184,RobustScaler,AdaBoost_10,10,0,10,50,100,1.0,0.4442478330853595,1.0,0.6319792499777837
185,RobustScaler,AdaBoost_10,10,0,10,50,500,1.0,0.4400375414847544,1.0,0.6319792499777837
189,RobustScaler,AdaBoost_10,100,0,100,10,50,0.9008050225237063,0.45523136060223895,0.9988154269972451,0.6928363547498444
190,RobustScaler,AdaBoost_10,100,0,100,10,100,0.9201543035770804,0.4670555406414313,0.9990909090909091,0.6890933528836756
191,RobustScaler,AdaBoost_10,100,0,100,10,500,0.9103885335829809,0.4876925650053926,0.9989669421487604,0.6932495778903405
192,RobustScaler,AdaBoost_10,100,0,100,50,50,1.0,0.42238293476874045,1.0,0.6033293343997156
193,RobustScaler,AdaBoost_10,100,0,100,50,100,1.0,0.4507626399505175,1.0,0.615694925797565
194,RobustScaler,AdaBoost_10,100,0,100,50,500,1.0,0.43800462492136605,1.0,0.6074029147782813
198,RobustScaler,AdaBoost_10,750,0,750,10,50,0.8961418978752387,0.4483727166814998,0.9987741046831956,0.70057029236648
199,RobustScaler,AdaBoost_10,750,0,750,10,100,0.8917876472451935,0.47026445815750667,0.9987052341597796,0.7088931840398116
200,RobustScaler,AdaBoost_10,750,0,750,10,500,0.902561009700806,0.4606868607757082,0.9988705234159779,0.7046851950590953
201,RobustScaler,AdaBoost_10,750,0,750,50,50,1.0,0.39015331103446005,1.0,0.5950890873544832
202,RobustScaler,AdaBoost_10,750,0,750,50,100,1.0,0.3727964412594684,1.0,0.590881098373767
203,RobustScaler,AdaBoost_10,750,0,750,50,500,1.0,0.40470766198229213,1.0,0.6035568292899671
207,RobustScaler,AdaBoost_10,1500,0,1500,10,50,0.935556474436891,0.5031127388868982,0.9992561983471073,0.7176501821736426
208,RobustScaler,AdaBoost_10,1500,0,1500,10,100,0.9409716932574468,0.5071551193430517,0.9993388429752066,0.7136901270772238
209,RobustScaler,AdaBoost_10,1500,0,1500,10,500,0.9504441855515577,0.5267977622268682,0.9994628099173554,0.7180220830000889
210,RobustScaler,AdaBoost_10,1500,0,1500,50,50,0.997217763935363,0.5270197246623636,0.9972527472527473,0.65678263574158
211,RobustScaler,AdaBoost_10,1500,0,1500,50,100,1.0,0.5044583230615687,1.0,0.6529365502532658
212,RobustScaler,AdaBoost_10,1500,0,1500,50,500,1.0,0.47189101053569704,1.0,0.6362698835865991
216,RobustScaler,AdaBoost_10,4000,0,4000,10,50,0.9458266759174638,0.5170101587412734,0.9994077134986226,0.7016137918777214
217,RobustScaler,AdaBoost_10,4000,0,4000,10,100,0.9708965306357537,0.5548646185895537,0.9996969696969698,0.7100606504932019
218,RobustScaler,AdaBoost_10,4000,0,4000,10,500,0.9747679174554651,0.5426269716928519,0.9997382920110193,0.7058526615124856
219,RobustScaler,AdaBoost_10,4000,0,4000,50,50,1.0,0.4125769700832037,1.0,0.5991626677330489
220,RobustScaler,AdaBoost_10,4000,0,4000,50,100,1.0,0.41093288984913523,1.0,0.5990282591308984
221,RobustScaler,AdaBoost_10,4000,0,4000,50,500,1.0,0.4049415465092321,1.0,0.6029778725673154
225,RobustScaler,ExtraTreesClf_10,10,0,10,10,50,0.54546179307624,0.2783781073675309,0.9810382042200223,0.7305836221452058
226,RobustScaler,ExtraTreesClf_10,10,0,10,10,100,0.5954753979998768,0.30727832892138157,0.9907851239669422,0.7411792410912647
227,RobustScaler,ExtraTreesClf_10,10,0,10,10,500,0.6180503737458748,0.3139875220284023,0.9903343626070898,0.7377976983915401
228,RobustScaler,ExtraTreesClf_10,10,0,10,50,50,0.9944280089041149,0.4718309105296417,0.9945054945054945,0.668393983826535
229,RobustScaler,ExtraTreesClf_10,10,0,10,50,100,1.0,0.46855485113095835,1.0,0.6682182529103351
230,RobustScaler,ExtraTreesClf_10,10,0,10,50,500,1.0,0.4818375575296352,1.0,0.6724262418910513
234,RobustScaler,ExtraTreesClf_10,100,0,100,10,50,0.9507765322471373,0.5441500845074081,0.9994490358126721,0.7098849195770017
235,RobustScaler,ExtraTreesClf_10,100,0,100,10,100,0.9708916215848511,0.5585772605366394,0.9996969696969698,0.7184870701146361
236,RobustScaler,ExtraTreesClf_10,100,0,100,10,500,0.9785670985481913,0.5783752760820104,0.9997796143250688,0.7308526615124855
237,RobustScaler,ExtraTreesClf_10,100,0,100,50,50,0.9986088819676815,0.5268372371101252,0.9986263736263736,0.6648989158446637
238,RobustScaler,ExtraTreesClf_10,100,0,100,50,100,1.0,0.5365897504475825,1.0,0.6774506798187151
239,RobustScaler,ExtraTreesClf_10,100,0,100,50,500,1.0,0.5513608617519503,1.0,0.6816586687994313
243,RobustScaler,ExtraTreesClf_10,750,0,750,10,50,0.9562601653278389,0.5184766652020459,0.9995316804407715,0.7057391362303385
244,RobustScaler,ExtraTreesClf_10,750,0,750,10,100,0.9664489727316334,0.528428384378688,0.9996418732782368,0.7096783080067538
245,RobustScaler,ExtraTreesClf_10,750,0,750,10,500,0.9762694423324005,0.5641105318196528,0.9997520661157024,0.7223435972629522
246,RobustScaler,ExtraTreesClf_10,750,0,750,50,50,0.9986088819676815,0.45477631931936713,0.9986263736263736,0.6276677330489647
247,RobustScaler,ExtraTreesClf_10,750,0,750,50,100,1.0,0.449627596725776,1.0,0.6195514529458811
248,RobustScaler,ExtraTreesClf_10,750,0,750,50,500,1.0,0.4761536757169474,1.0,0.6319170443437305
252,RobustScaler,ExtraTreesClf_10,1500,0,1500,10,50,0.9534449398574462,0.5664119311592581,0.9994903581267218,0.7303772327379365
253,RobustScaler,ExtraTreesClf_10,1500,0,1500,10,100,0.9626407234832501,0.5251953655660718,0.9996005509641874,0.7097713942948547
254,RobustScaler,ExtraTreesClf_10,1500,0,1500,10,500,0.9650920819285838,0.5368256030619102,0.9996280991735538,0.7098953612370035
255,RobustScaler,ExtraTreesClf_10,1500,0,1500,50,50,1.0,0.43642543657931365,1.0,0.6072685061761308
256,RobustScaler,ExtraTreesClf_10,1500,0,1500,50,100,1.0,0.4722747616340154,1.0,0.6236663556384964
257,RobustScaler,ExtraTreesClf_10,1500,0,1500,50,500,1.0,0.45689064392366086,1.0,0.6156018395094641
261,RobustScaler,ExtraTreesClf_10,4000,0,4000,10,50,0.934110763780806,0.5269476715274175,0.9992699724517906,0.7139898249355727
262,RobustScaler,ExtraTreesClf_10,4000,0,4000,10,100,0.947722244112561,0.5338250470377046,0.9994352617079889,0.7181564916022394
263,RobustScaler,ExtraTreesClf_10,4000,0,4000,10,500,0.9657513976626251,0.5422068463694732,0.999641873278237,0.709936683551053
264,RobustScaler,ExtraTreesClf_10,4000,0,4000,50,50,1.0,0.4131651671245413,1.0,0.5990282591308984
265,RobustScaler,ExtraTreesClf_10,4000,0,4000,50,100,1.0,0.4088356429860593,1.0,0.6031122811694659
266,RobustScaler,ExtraTreesClf_10,4000,0,4000,50,500,1.0,0.39126218660088885,1.0,0.5909637430018662
