,remove_corr_n,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
77,10,RobustScaler,LinearSVC,250,20,10,264,0.9856069429890298,0.38812055228549175,0.9998484848484849,0.7738791877721496
78,10,RobustScaler,LinearSVC,250,20,25,279,1.0,0.43409488543026803,1.0,0.7953941171243224
79,10,RobustScaler,LinearSVC,250,50,0,265,1.0,0.38168192422642766,1.0,0.7624435706033945
80,10,RobustScaler,LinearSVC,250,50,10,275,1.0,0.382885432587069,1.0,0.7697951657335821
81,10,RobustScaler,LinearSVC,250,50,25,290,1.0,0.442596735370958,1.0,0.8076875055540744
82,10,RobustScaler,LinearSVC,250,75,0,275,1.0,0.37009977952461126,1.0,0.7501501821736425
83,10,RobustScaler,LinearSVC,250,75,10,285,0.9959376290658667,0.37275867271614066,0.9999586776859504,0.7658664356171687
84,10,RobustScaler,LinearSVC,250,75,25,300,1.0,0.42667628308512945,1.0,0.7833073402648182
85,10,RobustScaler,LinearSVC,500,10,0,500,1.0,0.5126181046856737,1.0,0.802257175864214
86,10,RobustScaler,LinearSVC,500,10,10,510,1.0,0.517574893649573,1.0,0.7907389140673599
87,10,RobustScaler,LinearSVC,500,10,25,525,1.0,0.5567580197239561,1.0,0.8155940638052075
88,10,RobustScaler,LinearSVC,500,20,0,504,1.0,0.4908430315950272,1.0,0.7937689949346841
89,10,RobustScaler,LinearSVC,500,20,10,514,1.0,0.5221451521688669,1.0,0.8031253887852129
90,10,RobustScaler,LinearSVC,500,20,25,529,1.0,0.5315073689876251,1.0,0.8110659379720964
91,10,RobustScaler,LinearSVC,500,50,0,514,1.0,0.489312342361465,1.0,0.7859524126899493
92,10,RobustScaler,LinearSVC,500,50,10,524,1.0,0.5265136226783723,1.0,0.8067648627032791
93,10,RobustScaler,LinearSVC,500,50,25,539,1.0,0.5305207090873776,1.0,0.80302186083711
94,10,RobustScaler,LinearSVC,500,75,0,522,1.0,0.5185755866000364,1.0,0.7985554963120947
95,10,RobustScaler,LinearSVC,500,75,10,532,1.0,0.5336060470013008,1.0,0.7908006753754555
96,10,RobustScaler,LinearSVC,500,75,25,547,1.0,0.533557724195329,1.0,0.8069301519594775
97,10,RobustScaler,LinearSVC,1000,10,0,1000,1.0,0.49527606596292784,1.0,0.7898915844663645
98,10,RobustScaler,LinearSVC,1000,10,10,1010,1.0,0.5053184624546391,1.0,0.778052741491158
99,10,RobustScaler,LinearSVC,1000,10,25,1025,1.0,0.5258125866904675,1.0,0.790542299831156
100,10,RobustScaler,LinearSVC,1000,20,0,1002,1.0,0.4849013936182931,1.0,0.7816926597351816
101,10,RobustScaler,LinearSVC,1000,20,10,1012,1.0,0.5168363106363106,1.0,0.7901186350306585
102,10,RobustScaler,LinearSVC,1000,20,25,1027,1.0,0.5551470715652711,1.0,0.8073329334399716
103,10,RobustScaler,LinearSVC,1000,50,0,1009,1.0,0.4830800604907426,1.0,0.7733384430818449
104,10,RobustScaler,LinearSVC,1000,50,10,1019,1.0,0.5525999718826621,1.0,0.7992579756509375
105,10,RobustScaler,LinearSVC,1000,50,25,1034,1.0,0.5146260965608,1.0,0.7942544210432774
106,10,RobustScaler,LinearSVC,1000,75,0,1017,1.0,0.4851692330604588,1.0,0.7735554963120945
107,10,RobustScaler,LinearSVC,1000,75,10,1027,1.0,0.5202249162557397,1.0,0.7823329334399716
108,10,RobustScaler,LinearSVC,1000,75,25,1042,1.0,0.51946971543294,1.0,0.786778858970941
109,10,RobustScaler,LinearSVC,4000,10,0,4000,1.0,0.44631770416244404,1.0,0.744564560561628
110,10,RobustScaler,LinearSVC,4000,10,10,4010,1.0,0.437424732693152,1.0,0.7406253887852129
111,10,RobustScaler,LinearSVC,4000,10,25,4025,1.0,0.4626868928286186,1.0,0.7612003465742468
112,10,RobustScaler,LinearSVC,4000,20,0,4001,1.0,0.4343578037128476,1.0,0.7446785301697325
113,10,RobustScaler,LinearSVC,4000,20,10,4011,1.0,0.453487839307984,1.0,0.7412661068159602
114,10,RobustScaler,LinearSVC,4000,20,25,4026,1.0,0.4403969272273196,1.0,0.7329740957966765
115,10,RobustScaler,LinearSVC,4000,50,0,4004,1.0,0.44293790500970964,1.0,0.7524433484404159
116,10,RobustScaler,LinearSVC,4000,50,10,4014,1.0,0.476451331964971,1.0,0.7496198791433395
117,10,RobustScaler,LinearSVC,4000,50,25,4029,1.0,0.4242806187208472,1.0,0.7281667110992625
118,10,RobustScaler,LinearSVC,4000,75,0,4008,1.0,0.45146826952783375,1.0,0.7567339820492314
119,10,RobustScaler,LinearSVC,4000,75,10,4018,1.0,0.4694700270637865,1.0,0.7538074291300098
120,10,RobustScaler,LinearSVC,4000,75,25,4033,1.0,0.4500822903510893,1.0,0.7410490535857106
121,10,RobustScaler,na,na,na,0,5398,1.0,0.42677671851965304,1.0,0.7282493557273616
122,100,RobustScaler,LinearSVC,10,10,0,15,0.1731112597496951,0.15549642229468275,0.8207520762066217,0.7869428152492669
123,100,RobustScaler,LinearSVC,10,10,10,25,0.241173799711758,0.22139883850094003,0.8457030595666959,0.8180040877988093
124,100,RobustScaler,LinearSVC,10,10,25,40,0.26209239501374504,0.2325939172830755,0.8853244735062917,0.8444843597262951
125,100,RobustScaler,LinearSVC,10,20,0,20,0.18744153305110198,0.1577875239716408,0.861060025832753,0.8037505554074469
126,100,RobustScaler,LinearSVC,10,20,10,30,0.23193447781112664,0.2082287044183695,0.8761064945155854,0.8348149382386918
127,100,RobustScaler,LinearSVC,10,20,25,45,0.2663572818661277,0.23295389994816867,0.8965070030979122,0.8476384075357681
128,100,RobustScaler,LinearSVC,10,50,0,35,0.19961007409990353,0.17409623723827955,0.873124779261143,0.8259544121567581
129,100,RobustScaler,LinearSVC,10,50,10,45,0.2587678094230468,0.22806749426970446,0.8992473687928233,0.8520356793743891
130,100,RobustScaler,LinearSVC,10,50,25,60,0.29149466168771704,0.2604934461972526,0.9137378530560349,0.8727174975562072
131,100,RobustScaler,LinearSVC,10,75,0,48,0.21877527693391363,0.19598152108644684,0.8816165147983329,0.8426830622944992
132,100,RobustScaler,LinearSVC,10,75,10,58,0.29539963064962055,0.2634516656384552,0.9080536130536131,0.867256287212299
133,100,RobustScaler,LinearSVC,10,75,25,73,0.333769119182787,0.28718122627557585,0.939916724689452,0.879918021860837
134,100,RobustScaler,LinearSVC,250,10,0,250,1.0,0.4445718047198046,1.0,0.7729774282413578
