,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
92,92,1,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.001,0.625,0.33333334,0.5661924,0.46444488
93,93,1,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.1,0.0,0.0,0.004813864,0.0
94,94,1,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.01,0.6363636,0.23333333,0.43600804,0.4008999
95,95,1,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.001,0.64705884,0.36666667,0.442474,0.49518389
96,96,1,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.1,0.0,0.0,0.0047984635,0.0
97,97,1,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.01,0.71428573,0.16666667,0.3488582,0.3512262
98,98,1,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.001,0.5625,0.3,0.46892542,0.4138168
99,99,1,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.1,0.0,0.0,0.004813864,0.0
100,100,1,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.01,1.0,0.1,0.5338268,0.32125157
101,101,1,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.001,0.6875,0.36666667,0.5337444,0.5133521
102,102,1,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.1,0.0,0.0,0.004813864,0.0
103,103,1,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.01,0.6111111,0.36666667,0.5173909,0.4843092
104,104,1,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.001,0.47619048,0.33333334,0.41969034,0.40776512
105,105,1,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.1,0.0,0.0,0.004813864,0.0
106,106,1,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.01,0.6666667,0.26666668,0.41083658,0.43026555
107,107,1,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.6666667,0.4,0.5040367,0.52560616
108,108,2,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.1,0.0,0.0,0.039795853,0.0
109,109,2,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.01,0.0,0.0,0.004923803,0.0
110,110,2,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.001,0.53846157,0.22580644,0.28745353,0.40163264
111,111,2,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.1,0.0,0.0,0.034275554,0.0
112,112,2,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.01,0.0,0.0,0.0049272627,0.0
113,113,2,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.001,0.44444445,0.12903225,0.28810808,0.2584829
114,114,2,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.1,0.0,0.0,0.057619356,0.0
115,115,2,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.01,0.71428573,0.16129032,0.26019996,0.36343586
116,116,2,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.001,0.3,0.19354838,0.26598412,0.27541548
117,117,2,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.1,0.0,0.0,0.004974326,0.0
118,118,2,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.01,0.33333334,0.032258064,0.20933312,0.14321083
119,119,2,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.001,0.5,0.16129032,0.27283815,0.33504692
120,120,2,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.1,0.0,0.0,0.049721844,0.0
121,121,2,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.01,0.625,0.16129032,0.23541278,0.32965666
122,122,2,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.001,0.5714286,0.2580645,0.32434842,0.4092771
123,123,2,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.1,0.0,0.0,0.047531463,0.0
124,124,2,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.01,0.0,0.0,0.004872111,0.0
125,125,2,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.001,0.53333336,0.2580645,0.3148711,0.40133256
126,126,2,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.1,0.0,0.0,0.004974326,0.0
127,127,2,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.01,0.0,0.0,0.14422172,0.0
128,128,2,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.001,0.5,0.32258064,0.28567687,0.46885312
129,129,2,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.1,0.0,0.0,0.04657016,0.0
130,130,2,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.01,0.2857143,0.06451613,0.22481123,0.15150383
131,131,2,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.001,0.5,0.16129032,0.26624095,0.32420385
132,132,2,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.1,0.0,0.0,0.06185969,0.0
133,133,2,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.01,0.6666667,0.19354838,0.26877052,0.38908276
134,134,2,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.44444445,0.12903225,0.2865369,0.2645238
135,135,2,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.1,0.0,0.0,0.004974326,0.0
136,136,2,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.01,0.42857143,0.09677419,0.2848662,0.23660332
137,137,2,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.001,0.5714286,0.2580645,0.37653905,0.3960177
138,138,2,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.1,0.0,0.0,0.008105532,0.0
139,139,2,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.01,0.5833333,0.22580644,0.30157948,0.40133876
140,140,2,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.001,0.64705884,0.3548387,0.3248551,0.50978005
141,141,2,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.1,0.0,0.0,0.011395213,0.0
142,142,2,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.01,0.46666667,0.22580644,0.29385594,0.38057822
143,143,2,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.001,0.46666667,0.22580644,0.29087287,0.352773
144,144,2,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.1,0.0,0.0,0.004974326,0.0
145,145,2,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.01,0.0,0.0,0.14593843,0.0
146,146,2,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.001,0.64285713,0.29032257,0.3651633,0.46845794
147,147,2,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.1,0.0,0.0,0.004974326,0.0
148,148,2,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.01,0.5555556,0.16129032,0.3503908,0.3327138
149,149,2,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.001,0.47058824,0.2580645,0.32295024,0.35694796
150,150,2,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.1,0.0,0.0,0.019145228,0.0
151,151,2,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.01,0.42857143,0.19354838,0.26246196,0.35183936
152,152,2,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.001,0.5,0.29032257,0.321509,0.4151794
153,153,2,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.1,0.0,0.0,0.004974326,0.0
154,154,2,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.01,0.54545456,0.19354838,0.20565127,0.35551205
155,155,2,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.001,0.5294118,0.29032257,0.36997795,0.44590205
156,156,2,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.1,0.0,0.0,0.004974326,0.0
157,157,2,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.01,0.6666667,0.12903225,0.26250342,0.29712114
158,158,2,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.001,0.5555556,0.32258064,0.32329243,0.4708199
159,159,2,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.1,0.0,0.0,0.011960188,0.0
160,160,2,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.01,0.54545456,0.19354838,0.28317508,0.37003055
161,161,2,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.5625,0.29032257,0.3814266,0.45247832
162,162,3,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.1,0.0,0.0,0.013537452,0.0
163,163,3,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.01,0.0,0.0,0.040860385,0.0
164,164,3,RobustScaler,None,128,0.4,128,0.4,4096,50,10,0.001,0.6666667,0.26666668,0.3597514,0.45085996
165,165,3,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.1,0.0,0.0,0.0048146364,0.0
166,166,3,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.01,0.0,0.0,0.029636163,0.0
167,167,3,RobustScaler,None,128,0.4,128,0.4,4096,50,20,0.001,0.5,0.13333334,0.3302919,0.27500698
168,168,3,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.1,0.0,0.0,0.0048146364,0.0
169,169,3,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.01,0.0,0.0,0.32075417,-0.0005333957
170,170,3,RobustScaler,None,128,0.4,128,0.4,4096,50,30,0.001,0.64705884,0.36666667,0.42009956,0.4997747
171,171,3,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.1,0.0,0.0,0.060457427,0.0
172,172,3,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.01,0.0,0.0,0.008847771,0.0
173,173,3,RobustScaler,None,128,0.4,128,0.4,4096,75,10,0.001,0.6,0.1,0.3519131,0.2598717
174,174,3,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.1,0.0,0.0,0.0048146364,0.0
175,175,3,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.01,0.0,0.0,0.013305386,0.0
176,176,3,RobustScaler,None,128,0.4,128,0.4,4096,75,20,0.001,0.6,0.1,0.45871526,0.27823144
177,177,3,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.1,0.0,0.0,0.0046949014,0.0
178,178,3,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.01,0.0,0.0,0.08658838,0.0
179,179,3,RobustScaler,None,128,0.4,128,0.4,4096,75,30,0.001,0.64285713,0.3,0.41712832,0.46713203
180,180,3,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.1,0.0,0.0,0.0048146364,0.0
181,181,3,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.01,1.0,0.033333335,0.106958136,0.15040202
182,182,3,RobustScaler,None,128,0.4,128,0.4,4096,100,10,0.001,0.75,0.2,0.42132717,0.413782
183,183,3,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.1,0.0,0.0,0.0048146364,0.0
184,184,3,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.01,0.0,0.0,0.06366152,-0.0007789182
185,185,3,RobustScaler,None,128,0.4,128,0.4,4096,100,20,0.001,0.5714286,0.26666668,0.3519796,0.40650505
186,186,3,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.1,0.0,0.0,0.09738031,0.0
187,187,3,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.01,0.0,0.0,0.049387317,0.0
188,188,3,RobustScaler,None,128,0.4,128,0.4,4096,100,30,0.001,0.5882353,0.33333334,0.3634958,0.49072373
189,189,3,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.1,0.0,0.0,0.0048146364,0.0
190,190,3,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.01,0.85714287,0.2,0.52073133,0.41735607
191,191,3,RobustScaler,3,128,0.4,128,0.4,4096,50,10,0.001,0.73333335,0.36666667,0.49156457,0.55335236
192,192,3,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.1,0.0,0.0,0.0048146364,0.0
193,193,3,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.01,0.6,0.2,0.4503432,0.37399852
194,194,3,RobustScaler,3,128,0.4,128,0.4,4096,50,20,0.001,0.8333333,0.33333334,0.5443764,0.54364276
195,195,3,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.1,0.0,0.0,0.092175335,0.0
196,196,3,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.01,0.6666667,0.06666667,0.42965,0.23096693
197,197,3,RobustScaler,3,128,0.4,128,0.4,4096,50,30,0.001,0.7058824,0.4,0.5057412,0.5546018
198,198,3,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.1,0.0,0.0,0.0048146364,0.0
199,199,3,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.01,0.0,0.0,0.47449544,0.0
200,200,3,RobustScaler,3,128,0.4,128,0.4,4096,75,10,0.001,0.7692308,0.33333334,0.5347554,0.5296167
201,201,3,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.1,0.0,0.0,0.004808656,0.0
202,202,3,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.01,0.6,0.2,0.4595995,0.37399852
203,203,3,RobustScaler,3,128,0.4,128,0.4,4096,75,20,0.001,0.7777778,0.23333333,0.4352072,0.42880613
204,204,3,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.1,0.0,0.0,0.009608867,0.0
205,205,3,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.01,0.6666667,0.06666667,0.27236888,0.23096693
206,206,3,RobustScaler,3,128,0.4,128,0.4,4096,75,30,0.001,0.78571427,0.36666667,0.47478688,0.554146
207,207,3,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.1,0.0,0.0,0.0048146364,0.0
208,208,3,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.01,1.0,0.033333335,0.53377324,0.15040202
209,209,3,RobustScaler,3,128,0.4,128,0.4,4096,100,10,0.001,0.6666667,0.26666668,0.430851,0.42947805
210,210,3,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.1,0.0,0.0,0.0048146364,0.0
211,211,3,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.01,0.6666667,0.13333334,0.4373686,0.3035579
212,212,3,RobustScaler,3,128,0.4,128,0.4,4096,100,20,0.001,0.75,0.3,0.5167113,0.4892271
213,213,3,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.1,0.0,0.0,0.004808656,0.0
214,214,3,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.01,0.75,0.2,0.46653718,0.39933392
215,215,3,RobustScaler,3,128,0.4,128,0.4,4096,100,30,0.001,0.7,0.46666667,0.48531783,0.58687836
