,i,fold,scaler,clip,u1,d1,u2,d2,batch,epoch,patience,lr,precision,recall,auc,mcc
85,85,2,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.47619048,0.32258064,0.23310214,0.44051516
86,86,2,RobustScaler,None,256,0.5,na,na,4096,75,40,0.01,0.3809524,0.2580645,0.24733981,0.38300216
87,87,2,RobustScaler,None,256,0.5,na,na,4096,75,40,0.001,0.36842105,0.22580644,0.21126077,0.36253458
88,88,2,RobustScaler,3,128,0.5,na,na,4096,75,20,0.01,0.5714286,0.2580645,0.32345796,0.4092771
89,89,2,RobustScaler,3,128,0.5,na,na,4096,75,20,0.001,0.5,0.29032257,0.38190943,0.4151794
90,90,2,RobustScaler,3,128,0.5,na,na,4096,75,40,0.01,0.6,0.19354838,0.25041422,0.37854052
91,91,2,RobustScaler,3,128,0.5,na,na,4096,75,40,0.001,0.6363636,0.22580644,0.35292834,0.41072005
92,92,2,RobustScaler,3,256,0.5,na,na,4096,75,20,0.01,0.6,0.29032257,0.32087842,0.4599261
93,93,2,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.5714286,0.2580645,0.32949892,0.42126507
94,94,2,RobustScaler,3,256,0.5,na,na,4096,75,40,0.01,0.5625,0.29032257,0.31959724,0.42920345
95,95,2,RobustScaler,3,256,0.5,na,na,4096,75,40,0.001,0.6,0.29032257,0.35392562,0.4599261
96,96,3,StandardScaler,None,128,0.5,na,na,4096,75,20,0.01,0.625,0.33333334,0.43116146,0.47545713
97,97,3,StandardScaler,None,128,0.5,na,na,4096,75,20,0.001,0.8333333,0.33333334,0.48688924,0.54364276
98,98,3,StandardScaler,None,128,0.5,na,na,4096,75,40,0.01,0.7692308,0.33333334,0.49087173,0.5137564
99,99,3,StandardScaler,None,128,0.5,na,na,4096,75,40,0.001,0.64285713,0.3,0.45010835,0.4813406
100,100,3,StandardScaler,None,256,0.5,na,na,4096,75,20,0.01,0.42857143,0.2,0.30797738,0.31038103
101,101,3,StandardScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6315789,0.4,0.4741981,0.5132
102,102,3,StandardScaler,None,256,0.5,na,na,4096,75,40,0.01,0.6,0.3,0.40023184,0.4492761
103,103,3,StandardScaler,None,256,0.5,na,na,4096,75,40,0.001,0.7058824,0.4,0.4689123,0.5330138
104,104,3,StandardScaler,3,128,0.5,na,na,4096,75,20,0.01,0.72727275,0.26666668,0.51377904,0.4414277
105,105,3,StandardScaler,3,128,0.5,na,na,4096,75,20,0.001,0.7647059,0.43333334,0.5688348,0.58654076
106,106,3,StandardScaler,3,128,0.5,na,na,4096,75,40,0.01,0.75,0.3,0.4911421,0.48500687
107,107,3,StandardScaler,3,128,0.5,na,na,4096,75,40,0.001,0.61904764,0.43333334,0.5494272,0.55030406
108,108,3,StandardScaler,3,256,0.5,na,na,4096,75,20,0.01,0.72727275,0.53333336,0.48801467,0.65470326
109,109,3,StandardScaler,3,256,0.5,na,na,4096,75,20,0.001,0.75,0.4,0.5921826,0.5778436
110,110,3,StandardScaler,3,256,0.5,na,na,4096,75,40,0.01,0.6875,0.36666667,0.40929878,0.5318392
111,111,3,StandardScaler,3,256,0.5,na,na,4096,75,40,0.001,0.7692308,0.33333334,0.5110901,0.5296167
112,112,3,RobustScaler,None,128,0.5,na,na,4096,75,20,0.01,0.5,0.16666667,0.2652127,0.346201
113,113,3,RobustScaler,None,128,0.5,na,na,4096,75,20,0.001,0.75,0.3,0.40227312,0.50295323
114,114,3,RobustScaler,None,128,0.5,na,na,4096,75,40,0.01,0.44444445,0.13333334,0.29028577,0.26593888
115,115,3,RobustScaler,None,128,0.5,na,na,4096,75,40,0.001,0.5,0.26666668,0.3536087,0.38917917
116,116,3,RobustScaler,None,256,0.5,na,na,4096,75,20,0.01,0.625,0.33333334,0.26135007,0.4873737
117,117,3,RobustScaler,None,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.2,0.42333996,0.40272185
118,118,3,RobustScaler,None,256,0.5,na,na,4096,75,40,0.01,0.5714286,0.13333334,0.37841713,0.29085302
119,119,3,RobustScaler,None,256,0.5,na,na,4096,75,40,0.001,0.6111111,0.36666667,0.43742302,0.4905982
120,120,3,RobustScaler,3,128,0.5,na,na,4096,75,20,0.01,0.75,0.2,0.43106157,0.39933392
121,121,3,RobustScaler,3,128,0.5,na,na,4096,75,20,0.001,0.5714286,0.26666668,0.43752307,0.4103349
122,122,3,RobustScaler,3,128,0.5,na,na,4096,75,40,0.01,0.6666667,0.2,0.3921791,0.35233957
123,123,3,RobustScaler,3,128,0.5,na,na,4096,75,40,0.001,0.75,0.3,0.51989645,0.4892271
124,124,3,RobustScaler,3,256,0.5,na,na,4096,75,20,0.01,0.72727275,0.26666668,0.42740667,0.44135144
125,125,3,RobustScaler,3,256,0.5,na,na,4096,75,20,0.001,0.6666667,0.33333334,0.44808212,0.4914496
126,126,3,RobustScaler,3,256,0.5,na,na,4096,75,40,0.01,0.57894737,0.36666667,0.4265965,0.46690404
127,127,3,RobustScaler,3,256,0.5,na,na,4096,75,40,0.001,0.78571427,0.36666667,0.45201242,0.5652258
