,scaler,fs_model,fs_m,fs_univ_k,pca_n,tot_n_features,train_mcc,val_mcc,train_balanced_acc,val_balanced_acc
138,StandardScaler,AdaBoost_10,4000,380,0,4061,1.0,0.35187883125700975,1.0,0.7241299918571961
139,StandardScaler,AdaBoost_10,4000,380,10,4071,1.0,0.32602538587630514,1.0,0.7198046341618909
140,StandardScaler,AdaBoost_10,4000,380,100,4161,1.0,0.3582855231860897,1.0,0.7324028559490202
141,StandardScaler,AdaBoost_10,4000,788,0,4236,1.0,0.37080973170099085,1.0,0.7406748720307923
142,StandardScaler,AdaBoost_10,4000,788,10,4246,1.0,0.37714783589432793,1.0,0.7408159807417585
143,StandardScaler,AdaBoost_10,4000,788,100,4336,1.0,0.3499335782637973,1.0,0.7362671666570036
144,StandardScaler,ExtraTreesClf_10,10,9,0,16,0.18772956983022174,0.18096212385020924,0.8168932634311971,0.8028338174521007
145,StandardScaler,ExtraTreesClf_10,10,9,10,26,0.19639888072990905,0.1956204343033571,0.8713593953725166,0.8693413302262251
146,StandardScaler,ExtraTreesClf_10,10,9,100,116,0.26086964991984984,0.21677355479414487,0.9453267423089375,0.8722513461586848
147,StandardScaler,ExtraTreesClf_10,10,72,0,73,0.208890582186549,0.16882992619336137,0.931753040741017,0.8523047856172723
148,StandardScaler,ExtraTreesClf_10,10,72,10,83,0.2618445203804783,0.20826131304722062,0.9546135629285321,0.8665747468613382
149,StandardScaler,ExtraTreesClf_10,10,72,100,173,0.42061500427996035,0.27466240560443267,0.9886116410391677,0.8450376640338314
150,StandardScaler,ExtraTreesClf_10,10,380,0,380,1.0,0.2867315209978222,1.0,0.7264036719582175
151,StandardScaler,ExtraTreesClf_10,10,380,10,390,0.9810570179045349,0.2990159228380754,0.9998992158996997,0.7267664435271536
152,StandardScaler,ExtraTreesClf_10,10,380,100,480,1.0,0.28770288618643464,1.0,0.7299219624693757
153,StandardScaler,ExtraTreesClf_10,10,788,0,788,1.0,0.34505646325672706,1.0,0.744157081638591
154,StandardScaler,ExtraTreesClf_10,10,788,10,798,1.0,0.3655859401127035,1.0,0.7446198343971546
155,StandardScaler,ExtraTreesClf_10,10,788,100,888,1.0,0.34114803118158954,1.0,0.7238057940283044
156,StandardScaler,ExtraTreesClf_10,100,9,0,105,0.2644251173695924,0.20942591066441293,0.9497297189400467,0.8633343703394573
157,StandardScaler,ExtraTreesClf_10,100,9,10,115,0.27012952845739124,0.2154917305287667,0.9527402276033609,0.872030543499689
158,StandardScaler,ExtraTreesClf_10,100,9,100,205,0.37761963071031596,0.24381602152029858,0.9819566876728404,0.8335197066997777
159,StandardScaler,ExtraTreesClf_10,100,72,0,153,0.37180733230163837,0.2423088731216466,0.9833289896794365,0.829940067245861
160,StandardScaler,ExtraTreesClf_10,100,72,10,163,0.3832259845929604,0.25065568082527334,0.9842561954798796,0.8385958804479223
161,StandardScaler,ExtraTreesClf_10,100,72,100,253,0.6182644749398377,0.2843893129241419,0.9960090282418989,0.7809635264176192
162,StandardScaler,ExtraTreesClf_10,100,380,0,437,1.0,0.26112882869896153,1.0,0.7096983559801909
163,StandardScaler,ExtraTreesClf_10,100,380,10,447,1.0,0.27124452139247907,1.0,0.7178494335789445
164,StandardScaler,ExtraTreesClf_10,100,380,100,537,1.0,0.29765869728676037,1.0,0.7306089440561254
165,StandardScaler,ExtraTreesClf_10,100,788,0,835,1.0,0.3551178420177841,1.0,0.7403725355743841
166,StandardScaler,ExtraTreesClf_10,100,788,10,845,1.0,0.36902553140441285,1.0,0.7487058908477767
167,StandardScaler,ExtraTreesClf_10,100,788,100,935,1.0,0.38206193535761845,1.0,0.7370742630945633
168,StandardScaler,ExtraTreesClf_10,500,9,0,504,1.0,0.31077543505490496,1.0,0.7228794185610655
169,StandardScaler,ExtraTreesClf_10,500,9,10,514,1.0,0.35669708004779066,1.0,0.7360034380696212
170,StandardScaler,ExtraTreesClf_10,500,9,100,604,1.0,0.3980679308224846,1.0,0.7571374459682394
171,StandardScaler,ExtraTreesClf_10,500,72,0,536,1.0,0.3685365723699962,1.0,0.7526298081605111
172,StandardScaler,ExtraTreesClf_10,500,72,10,546,1.0,0.3521749255036011,1.0,0.7320383517932142
173,StandardScaler,ExtraTreesClf_10,500,72,100,636,1.0,0.3592094055708975,1.0,0.7444585676471626
174,StandardScaler,ExtraTreesClf_10,500,380,0,772,1.0,0.4397858961299202,1.0,0.7700607111565283
175,StandardScaler,ExtraTreesClf_10,500,380,10,782,1.0,0.3939341575883673,1.0,0.7451035346979714
176,StandardScaler,ExtraTreesClf_10,500,380,100,872,1.0,0.3717819741273378,1.0,0.7489695658039031
177,StandardScaler,ExtraTreesClf_10,500,788,0,1139,1.0,0.4258144545678178,1.0,0.7538400141851177
178,StandardScaler,ExtraTreesClf_10,500,788,10,1149,1.0,0.4213418717918944,1.0,0.7620129507185706
179,StandardScaler,ExtraTreesClf_10,500,788,100,1239,1.0,0.39303855459254566,1.0,0.7371339013905107
180,StandardScaler,ExtraTreesClf_10,1000,9,0,1003,1.0,0.4090437282681556,1.0,0.7494104864433956
181,StandardScaler,ExtraTreesClf_10,1000,9,10,1013,1.0,0.4068570759996968,1.0,0.7535376899176315
182,StandardScaler,ExtraTreesClf_10,1000,9,100,1103,1.0,0.44757081297842344,1.0,0.7741660654472025
183,StandardScaler,ExtraTreesClf_10,1000,72,0,1024,1.0,0.37883291710090955,1.0,0.7330907026103128
184,StandardScaler,ExtraTreesClf_10,1000,72,10,1034,1.0,0.4249661373555842,1.0,0.757905919910067
185,StandardScaler,ExtraTreesClf_10,1000,72,100,1124,1.0,0.424940500337323,1.0,0.7618701606142063
186,StandardScaler,ExtraTreesClf_10,1000,380,0,1229,1.0,0.43847180306763045,1.0,0.7580259933185425
187,StandardScaler,ExtraTreesClf_10,1000,380,10,1239,1.0,0.42263429463459845,1.0,0.757824447057264
188,StandardScaler,ExtraTreesClf_10,1000,380,100,1329,1.0,0.4481394700359977,1.0,0.7743080221682209
189,StandardScaler,ExtraTreesClf_10,1000,788,0,1556,1.0,0.3919314000442596,1.0,0.7290021240695932
190,StandardScaler,ExtraTreesClf_10,1000,788,10,1566,1.0,0.4243986844566891,1.0,0.7416835220429832
191,StandardScaler,ExtraTreesClf_10,1000,788,100,1656,1.0,0.435228305140331,1.0,0.7539399685591172
192,StandardScaler,ExtraTreesClf_10,2000,9,0,2001,1.0,0.4487379229189972,1.0,0.7662988671615043
193,StandardScaler,ExtraTreesClf_10,2000,9,10,2011,1.0,0.4297772385563165,1.0,0.7538803351387383
194,StandardScaler,ExtraTreesClf_10,2000,9,100,2101,1.0,0.4488006474679178,1.0,0.7623144586672016
195,StandardScaler,ExtraTreesClf_10,2000,72,0,2015,1.0,0.454349257888152,1.0,0.7745717263777596
